moderate,immoderate
organic,inorganic
organic,functional
popular,unpopular
absolute,relative
frozen,unfrozen
unmarked,marked
odd,even
higher,low
tough,tender
minor,major
extensive,intensive
legal,illegal
hopeless,hopeful
whatever,whatever
processed,unrefined
processed,unprocessed
valuable,worthless
physical,mental
professional,nonprofessional
professional,unprofessional
shut,open
holy,unholy
substantial,insubstantial
wary,unwary
fair,unfair
fair,foul
competitive,noncompetitive
familiar,unfamiliar
familiar,strange
shaded,unshaded
content,discontented
worthless,valuable
common,individual
common,uncommon
nobody,nobody
comparable,incomparable
accurate,inaccurate
porous,nonporous
stable,unstable
irregular,regular
beautiful,ugly
practical,impractical
uneven,even
longer,short
longer,unretentive
destructive,constructive
ya,ya
dim,undimmed
related,unrelated
pure,impure
pure,unsaturated
equal,unequal
equal,inadequate
mature,immature
mature,green
mature,unfledged
obvious,unobvious
darker,light
stylish,styleless
stylish,unfashionable
somebody,somebody
yes,yes
ill,well
anybody,anybody
dedicated,undedicated
dedicated,desecrated
opportune,inopportune
unknown,known
reputable,disreputable
unlikely,probable
unlikely,likely
primary,secondary
active,inactive
active,passive
active,quiet
active,stative
active,extinct
active,dormant
nearest,far
finished,unfinished
packaged,unpackaged
shiny,unglazed
clearer,unclear
clearer,opaque
clearer,ill-defined
clearer,cloudy
tolerant,intolerant
aware,unaware
aware,unmindful
unflattering,flattering
unnecessary,necessary
inferior,superior
inferior,adscript
linear,nonlinear
linear,planar
linear,digital
tasteless,tasty
tasteless,tasteful
coated,uncoated
thicker,thin
fatal,nonfatal
violent,nonviolent
some,some
southern,northern
liquid,gaseous
liquid,unmelted
addicted,unaddicted
passable,impassable
unusual,usual
unusual,familiar
favorable,unfavorable
reflective,nonreflective
largest,small
largest,little
wider,narrow
urban,rural
accessible,inaccessible
synthetic,analytic
stronger,weak
stronger,impotent
standing,running
standing,seated
curious,incurious
emotional,cerebral
emotional,unemotional
bold,timid
unsure,confident
unsure,certain
unsure,sure
superior,inferior
superior,subscript
immobile,mobile
ready,unready
renewable,unrenewable
inappropriate,appropriate
longest,short
longest,unretentive
sour,sweet
astringent,nonastringent
disposable,nondisposable
offensive,defensive
offensive,inoffensive
offensive,savory
offensive,euphemistic
uncut,trimmed
uncut,mown
uncut,cut
loose,compact
loose,tight
loose,affixed
slower,fast
easiest,difficult
easiest,uneasy
prepared,unprepared
everybody,everybody
earlier,middle
earlier,late
ugly,beautiful
whose,whose
mini,midi
creative,uncreative
precise,imprecise
external,internal
broad,narrow
hardest,easy
hardest,soft
hardest,voiced
latter,former
safer,dangerous
safer,out
temporary,permanent
minimal,maximal
minimal,maximum
bare,sheathed
bare,covered
potent,impotent
permanent,impermanent
unlimited,limited
pleasant,unpleasant
confident,diffident
lucky,unlucky
unprotected,protected
consistent,inconsistent
consistent,unreproducible
consistent,incoherent
unchanged,changed
unchanged,altered
intense,mild
surprising,unsurprising
noticeable,unnoticeable
noticeable,unobtrusive
waxy,unimpressionable
sturdier,compromising
careless,careful
colorful,colorless
colorful,colourless
colorful,uncolored
flexible,inflexible
flexible,uncompromising
unpleasant,pleasant
unpalatable,palatable
loved,unloved
feathered,unfeathered
poorest,rich
inner,outer
early,middle
early,late
least,most
incorrect,correct
incorrect,right
outdoor,indoor
fit,unfit
commercial,noncommercial
protective,unprotective
composed,discomposed
faster,slow
young,old
retarded,precocious
occupied,unoccupied
half,whole
finest,coarse
unstable,stable
slippery,nonslippery
rural,urban
removable,irremovable
coarse,fine
thirsty,hungry
disconnected,legato
angry,unangry
appealing,unappealing
appealing,unsympathetic
louder,soft
louder,piano
impractical,practical
conventional,unconventional
conventional,nuclear
loving,unloving
metal,nonmetallic
thermal,nonthermal
uninspiring,inspiring
live,recorded
live,dead
hungry,thirsty
like,like
unbalanced,balanced
crooked,straight
likely,unlikely
likely,improbable
hollow,solid
guess,guess
foreign,domestic
foreign,native
salty,fresh
private,public
seasoned,unseasoned
inductive,deductive
artificial,natural
impressive,unimpressive
general,specific
general,local
appetizing,unappetizing
unattractive,attractive
blind,sighted
definite,indefinite
worthy,unworthy
scarce,abundant
later,early
musical,unmusical
musical,unmelodious
due,undue
cooperative,uncooperative
shorter,long
shorter,tall
shorter,retentive
softer,hard
softer,loud
softer,unvoiced
softer,hardened
softer,forte
logical,illogical
logical,incoherent
brighter,dull
brighter,dimmed
unprecedented,precedented
thinner,thick
thinner,fat
thinner,full
moral,immoral
unbelievable,credible
self,self
social,unsocial
stinky,fragrant
neutral,positive
neutral,chromatic
determined,undetermined
coiled,uncoiled
unorganized,organized
worn,new
polar,equatorial
greater,lesser
inside,outside
responsible,irresponsible
armored,unarmored
up,up
intrusive,unintrusive
intrusive,extrusive
intrusive,protrusive
optional,obligatory
refined,unrefined
taller,short
starchy,starchless
woven,unwoven
toughest,tender
anti,pro
milder,intense
tolerable,intolerable
concentrated,distributed
concentrated,soft
concentrated,unsaturated
satisfactory,unsatisfactory
traditional,nontraditional
harsh,fine
serviceable,unserviceable
hopeful,hopeless
alarming,unalarming
varied,unvaried
breasted,breastless
classified,unclassified
youngest,old
robust,frail
restless,restful
unimpressive,impressive
elegant,inelegant
functioning,malfunctioning
experienced,inexperienced
 , 
minimum,maximal
minimum,maximum
unpaid,paid
ur,ur
international,national
proprietary,nonproprietary
educated,uneducated
deeper,shallow
responsive,unresponsive
sexy,unsexy
sexy,anaphrodisiac
opposable,unopposable
cut,uncut
cut,untrimmed
cut,unmown
compact,loose
melted,unmelted
fewer,more
fewer,many
grateful,ungrateful
ordinary,extraordinary
say,say
unappetizing,appetizing
darkest,light
unhealthy,healthy
healthier,unhealthy
harder,easy
harder,soft
harder,voiced
incredible,credible
concealed,unconcealed
reverse,forward
aggressive,unaggressive
optimistic,pessimistic
dramatic,undramatic
dramatic,lyric
cloudy,clear
automatic,manual
wrapped,unwrapped
military,unmilitary
military,civilian
rugged,delicate
rugged,unfurrowed
theirs,theirs
capable,incapable
uncleared,cleared
talented,untalented
parental,filial
rigid,nonrigid
waxed,unwaxed
directional,omnidirectional
heavier,light
simpler,complex
simpler,compound
crucial,noncrucial
horizontal,vertical
exterior,interior
indistinguishable,distinguishable
profound,superficial
crystallized,uncrystallized
lasting,impermanent
lasting,caducous
color,black-and-white
motorized,unmotorized
drained,undrained
eligible,ineligible
questionable,unquestionable
relevant,irrelevant
steep,gradual
integrated,nonintegrated
integrated,segregated
pregnant,nonpregnant
supportive,unsupportive
unaccommodating,accommodating
wild,tame
forgiving,unforgiving
convinced,unconvinced
branded,unbranded
proud,humble
classical,nonclassical
playful,unplayful
interactive,antagonistic
subjective,objective
subjective,transeunt
federal,unitary
touched,untouched
touched,unmoved
infernal,supernal
polished,unpolished
playable,unplayable
continuous,discontinuous
ventilated,unventilated
unprofessional,professional
indulgent,nonindulgent
ugliest,beautiful
prescription,nonprescription
subsequent,antecedent
fuller,empty
fuller,thin
metallic,nonmetallic
thy,thy
oblique,parallel
insane,sane
stale,fresh
confused,clearheaded
formal,informal
laxative,costive
herself,herself
modified,unmodified
energetic,lethargic
sudden,gradual
poorer,rich
pleasing,displeasing
fixed,unfixed
progressive,regressive
successful,unsuccessful
tame,wild
sparkling,still
anal,oral
hardened,untempered
hardened,soft
official,unofficial
deserved,unmerited
public,private
mindless,mindful
restricted,unrestricted
ourselves,ourselves
saddest,glad
pointless,pointed
submersible,nonsubmersible
flattering,unflattering
legible,illegible
stubborn,docile
drunk,sober
defensive,offensive
healthful,unhealthful
healthful,unsanitary
infected,antiseptic
cooler,warm
sharper,dull
sharper,flat
known,unknown
balanced,unbalanced
uncommon,common
jumpy,smooth
certified,uncertified
sugarless,sugary
technical,nontechnical
manageable,unmanageable
productive,unproductive
productive,consumptive
bound,unbound
bound,free
noisiest,quiet
exciting,unexciting
sanitary,unsanitary
biological,adoptive
vocal,instrumental
partial,impartial
uninterested,interested
uninteresting,interesting
fortunate,unfortunate
vague,defined
malfunctioning,functioning
quieter,unquiet
quieter,noisy
quieter,active
uncharacteristic,characteristic
undrinkable,drinkable
axe,axe
inevitable,evitable
slightest,much
nicest,nasty
unnatural,natural
unnatural,normal
unnatural,unaffected
invasive,noninvasive
invasive,confined
untalented,talented
evil,good
dryer,wet
dryer,sweet
dryer,phlegmy
pointed,pointless
feminine,masculine
feminine,neuter
feminine,unwomanly
ineffective,effective
unshelled,shelled
alive,dead
alive,unanimated
discernable,indiscernible
wasteful,thrifty
north,south
unfair,fair
smoother,rough
smoother,staccato
rounded,angular
controversial,uncontroversial
fastened,unfastened
fastened,unbuttoned
fastened,untied
slowest,fast
out,out
distinct,indistinct
sized,unsized
sweeter,sour
sweeter,dry
sweeter,salty
inconvenient,convenient
welcome,unwelcome
fictional,nonfictional
insufficient,sufficient
religious,irreligious
religious,secular
cellular,noncellular
determinate,indeterminate
persistent,caducous
elastic,inelastic
meaningful,meaningless
thankful,ungrateful
absorbable,adsorbable
alike,unalike
perplexed,unperplexed
thiner,thick
thiner,fat
thiner,full
animated,unanimated
aligned,nonaligned
sophisticated,naive
tender,tough
cautious,incautious
shortest,long
shortest,tall
shortest,retentive
unpredictable,predictable
covered,bare
like,unlike
like,unalike
native,foreign
native,adopted
native,nonnative
dishonest,honest
wow,wow
vulnerable,invulnerable
disagreeable,agreeable
homemade,factory-made
mental,physical
prospective,retrospective
yourselves,yourselves
unfriendly,friendly
haired,hairless
unsafe,secure
unsafe,safe
western,eastern
rude,civil
south,north
specialized,unspecialized
unexpected,expected
random,nonrandom
stupidest,smart
stupidest,intelligent
unbearable,tolerable
t,t
insecure,secure
strict,indulgent
brave,cowardly
woody,nonwoody
ultimate,proximate
scented,scentless
faced,faceless
unsatisfactory,satisfactory
injured,uninjured
unintelligent,intelligent
duller,lively
duller,bright
duller,sharp
tallest,short
treated,untreated
treated,untempered
destructible,indestructible
adhesive,nonadhesive
unsupportive,supportive
par,par
innocent,guilty
smarter,stupid
sporadic,continual
off,off
forward,backward
forward,reverse
harmful,harmless
diluted,undiluted
tidy,untidy
win,win
interior,exterior
incompetent,competent
nonexistent,existent
symmetric,asymmetrical
comfy,uncomfortable
indelicate,decorous
guided,unguided
sensible,unreasonable
sensible,insensible
organized,unorganized
organized,disorganized
discontinued,continued
whom,whom
bumpy,smooth
blonde,brunet
scientific,unscientific
excusable,inexcusable
married,unmarried
joint,separate
modest,immodest
unforgiving,forgiving
unobtrusive,obtrusive
nourished,malnourished
corrupt,incorrupt
corrupt,straight
spaced,unspaced
curved,straight
well,ill
back,front
overhead,surface
allopathic,homeopathic
enthusiastic,unenthusiastic
tougher,tender
dilute,undiluted
illegal,legal
unstimulating,stimulating
near,far
weaker,strong
trustworthy,untrustworthy
explosive,nonexplosive
convincing,unconvincing
crowded,uncrowded
opaque,clear
cerebral,emotional
carpeted,uncarpeted
disorienting,orienting
depressing,cheerful
innocuous,noxious
discernible,indiscernible
unfinished,finished
gracious,ungracious
wiser,foolish
valid,invalid
peyton,peyton
passive,active
tangled,untangled
secondary,primary
unappealing,sympathetic
unappealing,appealing
warmer,cool
unwearable,wearable
joyless,joyous
strongest,weak
strongest,impotent
traceable,untraceable
unethical,ethical
fashionable,unfashionable
fashionable,styleless
unrealistic,realistic
audible,inaudible
outward,inward
tangible,intangible
tangible,impalpable
unskilled,skilled
restrictive,unrestrictive
malted,unmalted
nuclear,conventional
junior,senior
uncreative,creative
rhetorical,unrhetorical
expired,unexpired
unclear,well-defined
unclear,clear
guilty,innocent
winxp,winxp
mortal,immortal
imbalanced,balanced
coolest,warm
isometric,isotonic
financial,nonfinancial
premature,full-term
imprecise,precise
palatable,unpalatable
inconspicuous,conspicuous
inward,outward
uniform,multiform
uniform,differentiated
structured,unstructured
fractional,whole
conservative,liberal
blended,unblended
cloudier,clear
net,gross
operational,nonoperational
docile,stubborn
discouraging,encouraging
upright,unerect
powered,unpowered
ample,meager
magnetic,antimagnetic
magnetic,nonmagnetic
magnetic,geographic
livable,unlivable
counterfeit,genuine
returnable,nonreturnable
collapsible,noncollapsible
sonic,subsonic
liberal,conservative
printable,unprintable
every,every
lean,fat
lean,rich
crude,refined
geographical,magnetic
stained,unstained
fatty,nonfat
asleep,awake
unavailable,available
heaviest,light
hydrated,anhydrous
soluble,insoluble
domestic,foreign
domestic,undomestic
intellectual,nonintellectual
intellectual,emotional
discerning,undiscerning
unaffected,affected
unaffected,moved
hairy,hairless
forceful,forceless
neither,neither
illegitimate,legitimate
patterned,plain
considerable,inconsiderable
foolish,wise
yo,yo
rifled,unrifled
ashamed,unashamed
unnoticeable,obtrusive
unnoticeable,noticeable
extraordinary,ordinary
incontinent,continent
stimulating,unstimulating
sugary,sugarless
drinkable,undrinkable
undeveloped,developed
undeveloped,exploited
tamer,wild
incomplete,complete
political,nonpolitical
motivated,unmotivated
national,international
national,local
humble,proud
holistic,atomistic
waning,waxing
acidic,alkaline
manly,unmanly
magnetized,antimagnetic
narrower,wide
narrower,broad-minded
heavenly,earthly
decreasing,increasing
adventurous,unadventurous
extended,unextended
accustomed,unaccustomed
inland,coastal
inhumane,humane
far,near
wise,foolish
unoriginal,original
absorbent,nonabsorbent
meaningless,meaningful
inadequate,adequate
perceptible,imperceptible
rip,rip
scripted,unscripted
infinite,finite
geographic,magnetic
insignificant,significant
enchanted,disenchanted
washable,nonwashable
vertical,inclined
vertical,unerect
off,on
lit,unlighted
parallel,perpendicular
polite,impolite
polite,uncivil
intensive,extensive
righteous,unrighteous
soiled,clean
pro,anti
intermediate,terminal
sterile,fertile
lol,lol
receptive,unreceptive
meaty,meatless
rhythmic,unrhythmical
replaceable,irreplaceable
muscular,ectomorphic
addictive,nonaddictive
sober,intoxicated
sober,playful
harsher,fine
backward,forward
perishable,imperishable
cleaner,dirty
cleaner,unclean
invisible,visible
invisible,conspicuous
invigorating,debilitating
dorsal,ventral
dorsal,adaxial
worrisome,reassuring
saturated,unsaturated
softest,hard
softest,loud
softest,unvoiced
softest,hardened
softest,forte
alternate,opposite
detached,attached
armed,unarmed
armed,armless
historical,ahistorical
historical,synchronic
inefficient,efficient
inaudible,audible
dirtier,clean
comprehensive,noncomprehensive
sweat,sweat
intelligent,unintelligent
tighter,loose
tighter,leaky
healthiest,unhealthy
  ,  
forte,piano
seamless,seamed
unfamiliar,familiar
toned,toneless
illogical,logical
shinier,unglazed
seamed,seamless
skilled,unskilled
senior,junior
corrected,uncorrected
wetter,dry
outgoing,incoming
inclined,disinclined
inclined,horizontal
northern,southern
relative,absolute
painless,painful
tipped,untipped
purposeful,purposeless
qualified,unqualified
inexcusable,excusable
unstoppable,stoppable
nastiest,nice
unregulated,regulated
endocrine,exocrine
objective,subjective
inactive,active
inactive,operational
paired,alternate
enclosed,unenclosed
tempered,untempered
distressed,euphoric
intolerable,tolerable
unpronounceable,pronounceable
charitable,uncharitable
sound,unsound
inspiring,uninspiring
deaf,hearing
helps,helps
infrequent,frequent
down,up
unaware,aware
wholesome,unwholesome
stricter,indulgent
waxing,waning
accommodating,unaccommodating
loudest,soft
loudest,piano
dependable,unreliable
dependable,undependable
dynamic,undynamic
dynamic,stative
acute,chronic
acute,obtuse
discriminating,undiscriminating
unfaithful,faithful
settled,unsettled
asymmetrical,symmetrical
uneasy,easy
uneasy,restful
unmanageable,wieldy
unmanageable,manageable
immature,mature
immature,old
immature,ripe
immature,fledged
moonlit,moonless
unspecified,specified
sweetest,sour
sweetest,dry
sweetest,salty
attributable,unattributable
respectable,unrespectable
sexual,asexual
informed,uninformed
leafy,leafless
earliest,middle
earliest,late
shapely,unshapely
dominant,subordinate
dominant,recessive
uneventful,eventful
christian,unchristian
chronic,acute
arbitrary,nonarbitrary
amicable,hostile
grassy,grassless
sane,insane
insured,uninsured
indestructible,destructible
ripe,green
unwieldy,wieldy
fresher,stale
fresher,preserved
fresher,salty
reflected,unreflected
hotter,cold
awake,asleep
lighted,unlighted
manned,unmanned
oriented,unoriented
closest,distant
closest,far
unhelpful,helpful
flimsier,convincing
repetitious,nonrepetitive
tubeless,tubed
antiseptic,septic
diplomatic,undiplomatic
coordinating,subordinating
discreet,indiscreet
focused,unfocused
undesirable,desirable
strangest,familiar
strangest,native
breakable,unbreakable
conditioned,unconditioned
preventative,permissive
oddest,even
oh,oh
affected,unaffected
affected,unmoved
irresponsible,responsible
convex,concave
voluntary,involuntary
savory,unsavory
naive,sophisticated
richer,poor
richer,lean
supervised,unsupervised
homeopathic,allopathic
humane,inhumane
selected,unselected
tanned,untanned
fancier,plain
ar,ar
troubled,untroubled
colder,hot
restful,restless
periodic,aperiodic
harmless,harmful
exclusive,inclusive
negligent,diligent
impure,pure
impure,clean
newest,old
newest,worn
lesser,greater
lesser,more
carnivorous,herbivorous
unreasonable,reasonable
thoughtful,thoughtless
thoughtful,heedless
diminished,hypertrophied
lost,lost
committed,uncommitted
committed,unattached
collapsable,noncollapsible
abundant,scarce
efficacious,inefficacious
efficacious,ineffective
upstairs,downstairs
deficient,sufficient
smartest,stupid
ye,ye
numerical,verbal
inessential,essential
unsteady,steady
wearable,unwearable
superficial,profound
oleophobic,oleophilic
disqualifying,enabling
unsanitary,sanitary
exhausted,unexhausted
absent,present
relaxing,restless
disingenuous,ingenuous
volatile,nonvolatile
smoky,smokeless
loosest,compact
loosest,tight
loosest,affixed
weakest,strong
innate,conditioned
warmest,cool
hottest,cold
uncertain,certain
uncertain,sure
uncertain,sealed
